ELP,res_num,dG,dG_err,dG_res,dG_err_res
H3F6,45,90.809,2.43,2.018,0.054
Y3L6,45,56.204,4.365,1.249,0.097
H3V6,45,77.804,3.33,1.729,0.074
H5V5,50,63.554,3.1,1.271,0.062
H5L4,45,55.574,2.88,1.235,0.064
N6M3,45,33.929,2.97,0.754,0.066
H6I3,45,94.949,3.87,2.110,0.086
S4C5,45,66.689,3.555,1.482,0.079
D6A4,50,64.254,3.55,1.285,0.071
G4C5,45,49.724,2.88,1.105,0.064
T4C6,50,85.104,4.6,1.702,0.092
R6F4,50,15.904,5.65,0.318,0.113
W5F5,50,74.554,2.6,1.491,0.052
K5M5,50,38.554,2.6,0.771,0.052
E4L6,50,34.054,3.3,0.681,0.066
Q5C5,50,66.404,4.3,1.328,0.086
E6A3,45,39.509,1.89,0.878,0.042
D5M4,45,38.249,1.8,0.850,0.04
S4I5,45,62.729,2.88,1.394,0.064
Y3A6,45,80.864,5.625,1.797,0.125
W6C4,50,78.304,2.2,1.566,0.044
R6M3,45,11.519,4.365,0.256,0.097
G6A4,50,59.354,2.55,1.187,0.051
R4F5,45,50.624,3.15,1.125,0.07
H6C4,50,104.059,3.028,2.081,0.042
Y6C4,50,90.994,2.629,1.820,0.036
H6A4,50,121.689,5.173,2.434,0.103
H6C3,45,81.420,4.503,1.809,0.100
Y5A5,50,91.731,3.470,1.83,0.069
Y6A4,50,87.128,5.140,1.743,0.103
H4A6,50,96.551,4.172,1.931,0.083
H6A3,45,112.869,3.231,2.508,0.071
H4C6,50,96.876,3.303,1.938,0.066
Y4C6,50,66.677,5.266,1.334,0.105
H5A5,50,118.817,2.786,2.376,0.056
T6A4,50,115.357,3.062,2.307,0.061
T5A5,50,89.981,3.740,1.800,0.075
T6C4,50,86.839,4.227,1.737,0.085
H5A4,45,89.567,3.749,1.990,0.075
H5C5,50,87.274,3.845,1.745,0.077
H6F4,50,116.003,5.192,2.32,0.104
S6A4,50,87.485,1.371,1.750,0.027
H5F5,50,116.080,5.354,2.32,0.107
H6F3,45,129.196,6.037,2.871,0.134
H5F4,45,81.730,2.853,1.816,0.063
T6F4,50,84.338,4.580,1.686,0.092
H4F6,50,95.128,4.046,1.903,0.081
H6M4,50,93.686,3.844,1.974,0.077
W4A6,50,82.910,2.937,1.658,0.059
T4F6,50,82.964,4.320,1.659,0.086
S4A6,50,65.964,3.525,1.319,0.070
Y6F4,50,110.335,1.681,2.207,0.034
Y4F6,50,81.691,2.981,1.634,0.060
T6A3,45,72.028,1.227,1.601,0.027
Y6I4,50,104.187,4.799,2.084,0.096
H6I4,50,83.382,4.264,1.668,0.045
Y6V3,45,75.300,3.725,1.673,0.083
Y6M4,50,64.912,2.074,1.298,0.042
W6A4,50,79.947,3.323,1.599,0.066
Y4A6,50,86.533,4.305,1.731,0.086
S6F4,50,77.485,1.991,1.550,0.040
Y6F3,45,69.764,2.263,1.550,0.050
H4I6,50,93.927,3.394,1.879,0.068
Y5F5,50,76.713,2.877,1.534,0.058
Y6I3,45,91.167,3.483,2.026,0.077
H4I5,45,86.778,3.165,1.928,0.070
H6V4,50,106.777,2.385,2.136,0.048
H6V3,45,91.454,3.511,2.032,0.078
H5I5,50,65.712,2.438,1.314,0.048
H5I4,45,106.476,4.907,2.366,0.109
H6L4,50,95.117,3.232,1.902,0.065
H6L3,45,86.242,4.819,1.916,0.107

